BUSINESSTYPE,BUSINESSNAME,STREETNUMBER,STREET,STREETTYPE,STREETDIR,UNITTYPE,UNITY,CITY,PROV,POSTAL,OBJECTID
Lunch Counter,PLAZA PREMIUM LOUNGE/ DD L3/EC3305,1,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,,141
Lunch Counter,PLAZA PREMIUM TERM 3 I DPT TR BH339 & BH341,1,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,,142
Lunch Counter,PORCHINI PARTY SERVICE & CATERING INC,7215,GOREWAY,DR,,Unit,2A10-2A11,MISSISSAUGA,ON,L4T 0B4,143
Lunch Counter,PORT CREDIT ESSO/TIM HORTONS,181,LAKESHORE,RD,W,,,MISSISSAUGA,ON,L5H1G5,144
Lunch Counter,PRETZELSMAKER / MRS FIELDS,5100,ERIN MILLS,PKWY,,UNIT,E215,MISSISSAUGA,ON,L5M 4Z5,145
Lunch Counter,PURDY CHOCOLATES,5100,ERIN MILLS,PKWY,,,R.218,MISSISSAUGA,ON,L5M4Z5,146
Lunch Counter,PUTTING EDGE ENTERTAINMENT CORPORATION,90,COURTNEYPARK,DR,E,Unit,N1,MISSISSAUGA,ON,L5T 2Y3,147
Lunch Counter,RABBA FINE FOOD,2325,HURONTARIO,ST,,Unit,1-2,MISSISSAUGA,ON,L5A4C7,148
Lunch Counter,RABBA FINE FOOD,645,LAKESHORE,RD,E,,,MISSISSAUGA,ON,L5G1J5,149
Lunch Counter,RABBA FINE FOODS,2090,HURONTARIO,ST,,,,MISSISSAUGA,ON,L5B 1M8,150
Lunch Counter,RABBA FINE FOODS,25,KINGSBRIDGE GARDEN,CIR,,Unit,3-8,MISSISSAUGA,ON,L5R 4B1,151
Lunch Counter,RABBA FINE FOODS,2760,DERRY,RD,W,,1,MISSISSAUGA,ON,L5N3N5,152
Lunch Counter,RABBA FINE FOODS,6720,MEADOWVALE TOWN CENTRE,CIR,,,,MISSISSAUGA,ON,L5N2W2,153
Lunch Counter,RABBA FINE FOODS,92,LAKESHORE,RD,E,,,MISSISSAUGA,ON,L5G4S2,154
Lunch Counter,REIDS FACILITY MANAGEMENT GROUP INC,6390,NORTHWEST,DR,,,,MISSISSAUGA,ON,L4V1S1,155
Lunch Counter,REXWOOD ESSO,6998,REXWOOD,RD,,,,MISSISSAUGA,ON,L4T4E6,156
Lunch Counter,RINCON DE ESPANA INC,550,LAKESHORE,RD,E,,,MISSISSAUGA,ON,L5G1J3,157
Lunch Counter,ROYAL FAUCHON,169,DUNDAS,ST,E,UNIT,6B,MISSISSAUGA,ON,L5A 1W8,158
Lunch Counter,ROYAL MEAT PRODUCTS LTD,3635,CAWTHRA,RD,,Unit,O&P,MISSISSAUGA,ON,L5A 2Y5,159
Lunch Counter,RUSSEL METALS INC.,6600,FINANCIAL,DR,,,,MISSISSAUGA,ON,L5N 7J6,160
Lunch Counter,SANDWICH PLANNER 2,155,BRITANNIA,RD,E,,,MISSISSAUGA,ON,L4Z 4C3,161
Lunch Counter,SCOOTER ROLLER PALACE,2105,ROYAL WINDSOR,DR,,,,MISSISSAUGA,ON,L5J1K5,162
Lunch Counter,SEEMIS KITCHEN,3355,THE COLLEGEWAY,,,UNIT,8-10,MISSISSAUGA,ON,L5L 5T3,163
Lunch Counter,SHANGHAI 360,100,CITY CENTRE,DR,,Unit,1-828,MISSISSAUGA,ON,L5B 2C9,164
Lunch Counter,SHELL /  FLYING J,1400,BRITANNIA,RD,E,,,MISSISSAUGA,ON,L4W 1C8,165
Lunch Counter,SLICE ONE PIZZA,4025,BRANDON GATE,DR,,Unit,5,MISSISSAUGA,ON,L4T 3Z9,166
Lunch Counter,SOUTH-WESTERN RECREATION AND SAUNA CLUB,2200,DUNDAS,ST,E,UNIT,9B,MISSISSAUGA,ON,L4X 2B3,167
Lunch Counter,STARSKY INC,3115,DUNDAS,ST,W,,,MISSISSAUGA,ON,L5L3R8,168
Lunch Counter,STEAMUL SAUNA,1310,DUNDAS,ST,E,Unit,1314,MISSISSAUGA,ON,L4Y2C1,169
Lunch Counter,STRANO / ST. JOAN OF ARC SS,3801,THOMAS,ST,,,,MISSISSAUGA,ON,,170
Lunch Counter,SUBWAY SANDWICH & SALAD,1900,FOWLER,DR,,UNIT,D-110,MISSISSAUGA,ON,L5K 0A1,171
Lunch Counter,SUBWAY SANDWICHES & SALADS,2150,BURNHAMTHORPE,RD,W,Unit,19,MISSISSAUGA,ON,L5L3A2,172
Lunch Counter,SUBWAY SANDWICHES AND SALADS,5025,HEATHERLEIGH,AVE,,Unit,1,MISSISSAUGA,ON,L5V 2Y7,173
Lunch Counter,SUSHI IN THE SKY,13,STAVEBANK,RD,,,,MISSISSAUGA,ON,L5G2T3,174
Lunch Counter,SWEET PHILOSOPHY INC,301,LAKESHORE,RD,E,,,MISSISSAUGA,ON,L5G 1H3,175
Lunch Counter,SWEET ROSIES COOKIES,2150,BURNHAMTHORPE,RD,W,Unit,49,MISSISSAUGA,ON,L5L3A2,176
Lunch Counter,SZECHUAN EXPRESS,100,CITY CENTRE,DR,,UNIT ,1-143,MISSISSAUGA,ON,L5B 2C9,177
Lunch Counter,T & T SUSHI BAR,250,LAKESHORE,RD,W,,,MISSISSAUGA,ON,L5H1G6,178
Lunch Counter,TAJ MAHAL FOOD,1185,DUNDAS,ST,E,Unit,4A&B,MISSISSAUGA,ON,L4Y 2C6,179
Lunch Counter,TEAVANA,100,CITY CENTRE,DR,,UNIT,2-309A,MISSISSAUGA,ON,L5B 2G6,180
Lunch Counter,TEES INDOOR GOLF,3400,RIDGEWAY,DR,,UNIT,9,MISSISSAUGA,ON,L5L 0A2,181
Lunch Counter,THE BUN MAN BAKERY,3433,FIELDGATE,DR,,,,MISSISSAUGA,ON,L4X2J4,182
Lunch Counter,THE PASTA CORNER,438,GIBRALTAR,DR,,Unit,2,MISSISSAUGA,ON,L5T2P2,183
Lunch Counter,TIM HORTON DONUTS,2185,LEANNE,BLVD,,,,MISSISSAUGA,ON,L5K 2L6,184
Lunch Counter,TIM HORTON DONUTS,5014,DIXIE,RD,,,,MISSISSAUGA,ON,L4W1C9,185
Lunch Counter,TIM HORTONS,1212,SOUTHDOWN,RD,,,,MISSISSAUGA,ON,L5J2Z2,186
