COMPLEX ID,Character Area,Z-Area,Street Number,Street Name,Designation,Zoning,Complex Name,Site Area (ha),Site Area (acre),Total Parking,GFA Residential (m2),GFA Residential (ft2),GFA Retail (m2),GFA Retail (ft2),GFA Total (m2),GFA Total (ft2),Building Type,Tenure Residential,Townhouse Blocks,Storeys Total,Number Of Residential Units,Number Of Retail Units,Density (Unit/Ha),Density (Unit/Acre),FSI,OBJECTID
1003,Central Erin Mills NHD,39W,5205,Glen Erin Dr,Medium Density,RM4,First Place,1.51,3.731291,126,7189,77381.751940,0,0,7189,77381.751940,Townhouse,PCC,9,2,52,0,34,14,0.476093,299
1004,Central Erin Mills NHD,39W,5230,Glen Erin Dr,Medium Density,RM4,5230 Erin Grove,3.58,8.846373,282,16880,181694.807700,0,0,16880,181694.807700,Townhouse,PCC,22,2,122,0,34,14,0.471508,300
1005,Central Erin Mills NHD,39W,5305,Glen Erin Dr,Medium Density,RM4,First Place,2.36,5.831687,191,10720,115389.119600,0,0,10720,115389.119600,Townhouse,PCC,13,2,81,0,34,14,0.454237,301
1006,Central Erin Mills NHD,39W,54805490,Glen Erin Dr,Medium Density,RM4,Enclave on the Park,4.442,10.976421,284,19613,211112.574900,0,0,19613,211112.574900,Townhouse,PCC,29,2,120,0,27,11,0.441535,302
1008,Central Erin Mills NHD,39W,5659,Glen Erin Dr,Medium Density,RM4,Erin Village,2.219,5.483268,169,8065,86810.937460,0,0,8065,86810.937460,Townhouse,PCC,12,2,73,0,33,13,0.363452,303
1009,Central Erin Mills NHD,39W,5940,Glen Erin Dr,Medium Density,RM4,The Heights of Erin Mills,1.44,3.558317,114,6037,64981.727150,0,0,6037,64981.727150,Townhouse,PCC,8,2,50,0,35,14,0.419236,304
1010,Central Erin Mills NHD,39W,5955,Glen Erin Dr,Medium Density,RM4,Lom Nava Co-Operative,2.276,5.624118,168,8277,89092.886460,0,0,8277,89092.886460,Townhouse,COOP-ROP,9,2,78,0,34,14,0.363664,305
1015,Central Erin Mills NHD,39W,59585910,Greensboro Dr,Medium Density,RM4,,4.62,11.416269,400,,,0,0,,,Townhouse,PCC,28,2,160,0,35,14,,306
1026,Hurontario NHD,36W,55,Barondale Dr,Medium Density,RM4,,1.8,4.447897,190,9698,104388.403200,0,0,9698,104388.403200,Townhouse,PCC,8,3,82,0,46,18,0.538778,307
1027,Hurontario NHD,37E,460,Bristol Rd W,Medium Density,RM4,Bristol Mews,1.83,4.522028,188,9154,98532.835890,0,0,9154,98532.835890,Townhouse,PCC,9,3,80,0,44,18,0.500219,308
1035,Erindale NHD,23,3024,Cedarglen Gate,High Density,RA1-25,Shalimar International Housing Corp,2.93,7.240188,131,7558,81353.634880,0,0,7558,81353.634880,Townhouse,RNTL-PRIVNP,8,3,78,0,27,11,0.257952,309
1037,Central Erin Mills NHD,39W,2550,Thomas St,Medium Density,RM4,Thomas Grove,2.52,6.227056,206,12605,135679.090700,0,0,12605,135679.090700,Townhouse,PCC,10,2,87,0,35,14,0.500198,310
1038,Central Erin Mills NHD,39W,2555,Thomas St,Medium Density,RM4,Thomas Grove,1.87,4.620871,276,17030,183309.394300,0,0,17030,183309.394300,Townhouse,PCC,13,2,117,0,63,25,0.910695,311
1040,Erin Mills NHD,59,3050,Orleans Rd,Medium Density,RM4,Winston Manors Condo Townhouse,4.321,10.677424,324,20650,222274.750000,0,0,20650,222274.750000,Townhouse,PCC,19,2,141,0,33,13,0.477899,312
1042,Meadowvale NHD,55,3097-3107,Augusta Dr,Medium Density,RM5,Barmont Homes,0.174,0.429963,12,668,7190.292154,0,0,668,7190.292154,Townhouse,Freehold,1,2,6,0,34,14,0.383908,313
1045,East Credit NHD,38E,5955,Creditview Rd,Medium Density,RM4,Creditbend Terrace,1.3,3.21237,158,7422,79889.743060,0,0,7422,79889.743060,Townhouse,RNTL-PNP,8,3,69,0,53,21,0.570923,314
1046,Erin Mills NHD,24,1905,Broad Hollow Gate,Medium Density,RM4,Townmanors of Sawmill Valley,2.49,6.152924,192,10419,112149.182600,0,0,10419,112149.182600,Townhouse,PCC,13,2,56,0,22,9,0.418434,315
1049,East Credit NHD,30,4650-4690,Crosscreek Crt,Medium Density,RM5,Trengrove Development,0.69,1.705027,42,3500,37673.686440,0,0,3500,37673.686440,Townhouse,Freehold,3,2,21,0,30,12,0.507246,316
1054,Hurontario NHD,37W,800/728-746,Constellation Dr/Winterton Way,Medium Density,RM4,,1.25,3.088817,,,,0,0,,,Townhouse,PCC,5,2,38,0,30,12,,317
1055,East Credit NHD,45E,1256-1329,Killaby Dr,Medium Density,RM5,H and R Developments,1.597,3.946273,,,,0,0,,,Townhouse,Freehold,4,2,68,0,43,17,,318
1058,East Credit NHD,38E,1050,Bristol Rd W,Medium Density,RM4,Huntingview Condominiums,2.319,5.730374,286,15847,170575.688300,0,0,15847,170575.688300,Townhouse,PCC,15,3,124,0,53,22,0.683355,319
1059,Central Erin Mills NHD,39W,29452955,Thomas St,Medium Density,RM4,,2.96,7.314319,305,16349,175979.171300,0,0,16349,175979.171300,Townhouse,PCC,20,3,132,0,45,18,0.552331,320
