lat,lon
43.5297338,-79.6590135
43.54938,-79.7136524
43.5557495,-79.7034095
43.5456497,-79.6852516
43.602798,-79.6666184
43.6079803,-79.6586295
43.5892732,-79.6645591
43.6085165,-79.6580685
43.5238453,-79.7006418
43.6044373,-79.6657883
43.5962169,-79.6756486
43.5683685,-79.7732568
43.5670043,-79.7605322
43.5830385,-79.7761216
43.5724407,-79.7395842
43.5594804,-79.7182775
43.5646152,-79.7265897
43.5597702,-79.7192479
43.561067,-79.721282
43.5666434,-79.7296728
43.5733583,-79.7362015
43.5730477,-79.7356623
43.6179142,-79.6657879
43.5592472,-79.6420484
43.5967408,-79.7100527
43.5433337,-79.667328
43.5837807,-79.6782224
43.6014897,-79.7105519
43.5939932,-79.6842581
43.5807256,-79.730338
43.5753825,-79.5691068
43.576724,-79.6820259
43.5591554,-79.756091
43.5304336,-79.6599663
43.556168,-79.760417
43.5796067,-79.7316207
43.5830491,-79.6811742
43.5892001,-79.6735092
43.577277,-79.683448
43.5546087,-79.7231994
43.5901112,-79.6920919
43.6040071,-79.6853341
43.6180349,-79.7432509
43.5825391,-79.7592903
43.5825391,-79.7592903
43.564031,-79.727161
43.5771748,-79.6822253
43.5248399,-79.6529204
43.5655749,-79.7277801
43.5449821,-79.6705424
43.5966866,-79.7083211
43.5802132,-79.7311352
43.5704163,-79.7171511
43.5999229,-79.679171
43.7199768,-79.6234274
43.5735225,-79.7370413
43.597553,-79.710933
43.5794373,-79.5581293
43.563087,-79.6358778
43.6212033,-79.7406754
43.5604261,-79.6401434
43.5839552,-79.7466114
43.566589,-79.728393
43.636197,-79.7269398
43.5688385,-79.7630703
43.5929163,-79.7622932
43.5498516,-79.713493
43.6324175,-79.7198963
43.5209818,-79.6287304
43.5336626,-79.6247727
43.6027942,-79.6734317
43.7090039,-79.637389
43.58892,-79.692406
43.619372,-79.6676151
43.6048401,-79.685519
43.6399661,-79.7322035
43.6068873,-79.6863654
43.6212941,-79.6473439
43.5616131,-79.7451223
43.569493,-79.717716
43.6421599,-79.7281859
43.544848,-79.6071223
43.5980386,-79.7088409
43.5306553,-79.6604852
43.5617195,-79.7377164
43.5597493,-79.7426016
43.536155,-79.7217883
43.594427,-79.666109
43.6348962,-79.7246952
43.6323279,-79.7169685
43.6343545,-79.7213462
43.625582,-79.708372
43.589428,-79.6072143
43.5726561,-79.5710161
43.543843,-79.6708139
43.5418146,-79.7269884
43.5826924,-79.7283023
43.5484172,-79.7263812
43.638146,-79.734174
43.717654,-79.625683
43.601038,-79.7097409
43.6176128,-79.5783406
43.540062,-79.738556
43.58597,-79.579117
43.5501281,-79.7529704
43.5364356,-79.6691523
43.567864,-79.613573
43.6060377,-79.6999677
43.570963,-79.615441
43.5318287,-79.6075493
43.6049249,-79.5917933
43.5406728,-79.7401732
43.5493979,-79.721226
43.5510435,-79.7240752
43.5562064,-79.642138
43.590716,-79.6702417
43.6396113,-79.7177742
43.5739413,-79.6894479
43.5740826,-79.5620561
43.593459,-79.7663355
43.5901987,-79.7560102
43.5403238,-79.6836017
43.5894953,-79.6346267
43.579809,-79.730928
43.6194966,-79.5770803
43.625797,-79.608222
43.5463187,-79.7169816
43.6343545,-79.7213462
43.543843,-79.6708139
43.5609594,-79.7367291
43.560862,-79.7356056
43.5518557,-79.7228938
43.6315821,-79.5908227
43.5111036,-79.6299603
43.5804634,-79.7310583
43.6050518,-79.7304162
43.5311882,-79.6175953
43.5315451,-79.6178149
43.5685862,-79.6019717
43.5124598,-79.6468415
43.5965258,-79.6017975
43.5961293,-79.7080981
43.5890078,-79.6721688
