lat,lon
43.7008451,-79.6573402
43.668371,-79.644144
43.6042403,-79.7742283
43.5844217,-79.7172213
43.604561,-79.773783
43.6107587,-79.7520568
43.604483,-79.774179
43.65707,-79.681664
43.60403,-79.773972
43.6597754,-79.6025013
43.6044232,-79.7622155
43.6534423,-79.604905
43.5840227,-79.7583288
43.596616,-79.598608
43.6591779,-79.653839
43.6051,-79.5901928
43.5911743,-79.7418695
43.6047352,-79.5907569
43.5950822,-79.7545524
43.5475735,-79.7135227
43.5189059,-79.6263175
43.519826,-79.626018
43.5991184,-79.7361971
43.5160689,-79.6233509
43.5978063,-79.7361064
43.5197972,-79.6406037
43.5978208,-79.7361613
43.5247979,-79.614102
43.555576,-79.5825909
43.5246121,-79.6146836
43.6087036,-79.6562723
43.5978353,-79.7362162
43.5242714,-79.6150785
43.5978498,-79.736271
43.5520394,-79.5854763
43.5314957,-79.6156479
43.5591933,-79.5778337
43.5994236,-79.7361031
43.5772252,-79.6035929
43.5761055,-79.6175082
43.598914,-79.7367229
43.5622353,-79.5748099
43.5604996,-79.5763936
43.5978842,-79.7364425
43.5995331,-79.7368347
43.5524589,-79.5857409
43.5979004,-79.7365588
43.5898876,-79.6047986
43.552829,-79.5862147
43.5979055,-79.7366168
43.5800071,-79.6156003
43.5979105,-79.7366748
43.6212658,-79.604923
43.5983466,-79.7372379
43.5853065,-79.7188885
43.622182,-79.603987
43.598445,-79.737333
43.5846722,-79.7181672
43.5845211,-79.7173487
43.598509,-79.737423
43.5844382,-79.7172504
43.6218357,-79.6725428
43.598573,-79.737512
43.53005,-79.6718987
43.5844959,-79.7168397
43.6229445,-79.6710345
43.5986369,-79.737602
43.5303297,-79.6424832
43.5842054,-79.7169455
43.6088087,-79.755551
43.5829888,-79.7278426
43.5979466,-79.7377704
43.598829,-79.73787
43.5826293,-79.7147803
43.598892,-79.73796
43.5868892,-79.7202284
43.598956,-79.738049
43.5866373,-79.7201544
43.6559533,-79.6088153
43.599084,-79.738228
43.5865365,-79.720006
43.6602593,-79.6057648
43.586519,-79.7197
43.6566353,-79.6089346
43.6021439,-79.739781
43.6559825,-79.6165104
43.6028224,-79.7406476
43.5859952,-79.7193685
43.6064294,-79.7531247
43.6531043,-79.6172589
43.5857902,-79.7185439
43.5320738,-79.6783687
43.6021807,-79.7381097
43.7136686,-79.6205745
43.526622,-79.6826681
43.6592071,-79.5964838
43.5124371,-79.6625153
43.5890867,-79.6771786
43.6066947,-79.7563123
43.5124856,-79.6637319
43.560119,-79.7548577
43.6961356,-79.6163578
43.514738,-79.6668507
43.6569056,-79.5984887
43.4860177,-79.626374
43.6574069,-79.60343
43.65678,-79.599499
43.6618742,-79.6002764
43.656762,-79.6019937
43.6590558,-79.6098547
43.6050543,-79.7711492
43.6589858,-79.6108781
43.6568969,-79.6024919
43.6047495,-79.7717529
43.6086497,-79.7448913
43.6580448,-79.6047695
43.6489782,-79.6212882
43.6648036,-79.5945475
43.6602048,-79.6082938
43.6048835,-79.5904458
43.5712274,-79.6061058
43.5901328,-79.5913198
43.6025194,-79.5894646
43.5710192,-79.565297
43.662705,-79.5999609
43.5484868,-79.5906628
43.612937,-79.740851
43.5194283,-79.6217477
43.6545105,-79.6161911
43.6584614,-79.726643
43.5971451,-79.633348
43.6409083,-79.7072073
43.5978781,-79.6327453
43.5073727,-79.6256721
43.5967939,-79.6327155
43.6264192,-79.6673575
43.5969227,-79.6322764
43.5972221,-79.6385951
43.6565832,-79.6107265
43.5963514,-79.637074
43.6132743,-79.5984131
43.626165,-79.6677653
43.5978529,-79.6372486
43.5972299,-79.6360033
43.5167368,-79.6236417
43.656999,-79.6126843
43.5165419,-79.6228552
43.5998268,-79.6402613
43.6001617,-79.6398473
43.6002287,-79.6402962
43.6005042,-79.6397668
43.587411,-79.7211311
43.5860759,-79.7202722
43.5849877,-79.7185789
43.5182689,-79.62267
43.5183155,-79.622374
43.6033676,-79.7761545
43.6031189,-79.7791704
43.5991099,-79.7663982
43.5761574,-79.6169268
43.6504056,-79.7107417
43.5696827,-79.5659258
43.6081215,-79.7554287
43.6548126,-79.6167246
43.6008183,-79.6079767
43.5983515,-79.6048603
43.644954,-79.7113
43.6439134,-79.6104858
43.6397275,-79.7066968
43.633482,-79.6933597
43.633482,-79.6933597
43.6332901,-79.666722
43.6338103,-79.6668404
43.6338339,-79.6668038
43.632754,-79.665588
43.6141878,-79.6834622
43.6587732,-79.6053966
43.6583272,-79.5983392
43.5150675,-79.660282
43.516531,-79.6636711
43.5214935,-79.6546439
43.5235882,-79.6570067
43.568528,-79.6537969
43.5985505,-79.7337006
43.6082983,-79.7571699
43.6500042,-79.7048381
43.6027388,-79.7839225
43.586587,-79.6474224
43.54312,-79.5947443
43.6172049,-79.6160629
43.6089447,-79.7578314
43.6104692,-79.6000535
43.554186,-79.711997
43.6434103,-79.6289803
43.611651,-79.7491837
43.611651,-79.7491837
43.6090635,-79.7509612
43.6090635,-79.7509612
43.5556892,-79.6999131
43.6090635,-79.7509612
43.646863,-79.557377
