BUSINESSTYPE,BUSINESSNAME,STREETNUMBER,STREET,STREETTYPE,STREETDIR,UNITTYPE,UNITY,CITY,PROV,POSTAL,OBJECTID,lon,lat
Restaurant,SUBWAY SANDWICH,35,BRUNEL,RD,,Unit,1,MISSISSAUGA,ON,L4Z 3E8,1194,-79.6765217,43.6261769
Restaurant,SUBWAY SANDWICH,720,BRISTOL,RD,W,Unit,8,MISSISSAUGA,ON,L5R 4A3,1195,-79.6798539,43.5990076
Restaurant,SUBWAY SANDWICH & SALAD,925,RATHBURN,RD,E,Unit,C7,MISSISSAUGA,ON,L4W 4C3,1196,-79.6173985,43.6158833
Restaurant,SUBWAY SANDWICH TOMKEN #26030,7025,TOMKEN,RD,,Unit,1,MISSISSAUGA,ON,L5S1R6,1197,-79.6849396,43.6667132
Restaurant,SUBWAY SANDWICHES,100,CITY CENTRE,DR,,Unit,2-101,MISSISSAUGA,ON,L5B2C9,1198,-79.6424911,43.5930784
Restaurant,SUBWAY SANDWICHES,1125,DUNDAS,ST,E,Unit,9,MISSISSAUGA,ON,L4Y2C4,1199,-79.5910701,43.603968
Restaurant,SUBWAY SANDWICHES,115,QUEEN,ST,S,Unit,1,MISSISSAUGA,ON,L5M 1K7,1200,-79.7170258,43.5845535
Restaurant,SUBWAY SANDWICHES,1525,BRISTOL,RD,W,Unit,9,MISSISSAUGA,ON,L5M 4Z1,1201,-79.6987924,43.586169
Restaurant,SUBWAY SANDWICHES,2136,BURNHAMTHORPE,RD,W,Unit,E-3,MISSISSAUGA,ON,L5L 5Z5,1202,-79.6828352,43.5447341
Restaurant,SUBWAY SANDWICHES,2555,ERIN CENTRE,BLVD,,Unit,6,MISSISSAUGA,ON,L5M5H1,1203,-79.7129937,43.5676913
