COMPLEX.ID,Character.Area,Z.Area,Street.Number,Street.Name,Designation,Zoning,Complex.Name,Site.Area..ha.,Site.Area..acre.,Total.Parking,GFA.Residential..m2.,GFA.Residential..ft2.,GFA.Retail..m2.,GFA.Retail..ft2.,GFA.Total..m2.,GFA.Total..ft2.,Building.Type,Tenure.Residential,Townhouse.Blocks,Storeys.Total,Number.Of.Residential.Units,Number.Of.Retail.Units,Density..Unit.Ha.,Density..Unit.Acre.,FSI,OBJECTID,address,lon,lat
182,Applewood NHD,20,1370,Silver Spear Rd,Medium Density,RM4,Forest Manor,1.62,4.003107,82,7965,85734.54642,0,0,7965,85734.54642,Townhouse,RNTL,8,2,64,0,40,16,0.491667,67,1370 Silver Spear Rd,-79.6016909,43.6193971
183,Applewood NHD,20,1350,Winding Tr,Medium Density,RM4,,2.44,6.029371,124,11441,123149.899,0,0,11441,123149.899,Townhouse,RNTL,4,2,99,0,41,16,0.468893,68,1350 Winding Tr,-96.896055,32.670946
184,Applewood NHD,20,3070,Queen Frederica Dr,Medium Density,RM4,,1.56,3.854844,53,NA,NA,0,0,NA,NA,Townhouse,RNTL-PNP,8,2,63,0,40,16,NA,69,3070 Queen Frederica Dr,-79.589022,43.608222
185,East Credit NHD,38E,5016-5050,East Mill Rd,Medium Density,RM5,East Mill Townhouses,0.39,0.963711,32,2461,26489.98352,0,0,2461,26489.98352,Townhouse,Freehold,3,2,16,0,41,17,0.631026,70,5016-5050 East Mill Rd,-85.6796631,31.103925
186,Applewood NHD,20,3150,Queen Frederica Dr,Medium Density,RM4,Quetico Court,0.44,1.087264,20,NA,NA,0,0,NA,NA,Townhouse,PCC,2,2,16,0,36,15,NA,71,3150 Queen Frederica Dr,-79.590866,43.609359
187,Applewood NHD,19,1400,Winding Tr,Medium Density,RM4,,1.24,3.064107,65,NA,NA,0,0,NA,NA,Townhouse,RNTL,2,2,50,0,40,16,NA,72,1400 Winding Tr,-95.2258375,32.7274224
188,Applewood NHD,19,1310,Gulleden Dr,Medium Density,RM4,,0.55,1.35908,35,NA,NA,0,0,NA,NA,Townhouse,PCC,1,2,23,0,42,17,NA,73,1310 Gulleden Dr,-79.597052,43.620134
189,Applewood NHD,19,3516,Havenwood Dr,Medium Density,RM4,,0.55,1.35908,30,NA,NA,0,0,NA,NA,Townhouse,RNTL,1,2,24,0,44,18,NA,74,3516 Havenwood Dr,-83.5291515,42.6147342
190,Applewood NHD,19,35153455,Havenwood Dr,Medium Density,RM4,,2.09,5.164502,98,NA,NA,0,0,NA,NA,Townhouse,RNTL,1,2,89,0,43,17,NA,75,35153455 Havenwood Dr,-82.412197,29.1626188
192,Applewood NHD,19,1539-1647,Williamsport Dr,Medium Density,RM4,Williamsport Townhouses,1,2.471054,24,NA,NA,0,0,NA,NA,Townhouse,RNTL,4,2,48,0,48,19,NA,76,1539-1647 Williamsport Dr,-121.8821027,37.3848026
193,Applewood NHD,19,3468-3532,Fieldgate Dr,Medium Density,RM4,Fieldgate Townhouses,0.8,1.976843,59,NA,NA,0,0,NA,NA,Townhouse,RNTL,3,2,31,0,39,16,NA,77,3468-3532 Fieldgate Dr,-86.2980989,41.7368518
194,Applewood NHD,19,1560,Bloor St,Medium Density,RM4,1560 Bloor Street Townhouses,3.34,8.25332,178,15053,162029.1434,0,0,15053,162029.1434,Townhouse,RNTL,8,2,141,0,42,17,0.450689,78,1560 Bloor St,-78.7891528,43.8930412
